airline,flight_number,departure_time,arrival_time,origin,destination,duration,stops,price,currency,source_platform,lead_time,scraped_at,date,route,lead_time_days,duration_minutes,stops_count,departure_hour,arrival_hour,day_of_week,month,previous_price,baseline_7d,std_7d,baseline_30d,price_change_1d,price_7d_ago,price_change_7d,z_score,price_vs_7d_baseline,anomaly_prediction,anomaly_score,alert_level,inflation_percent
Air India Express,IX-1986ECONOMY,14:05,16:03,BLR,HYD,01h 58m,Non-stop,4551,INR,EaseMyTrip,T+21,2025-10-13 11:55:43+00:00,2025-10-13,BLR-HYD,21,118,0,14,16,0,10,5808.0,5021.714285714285,765.1918526935398,5049.583333333333,-0.21642561983471076,5543.0,-0.1789644596788743,-0.6151585175107803,-0.09373577605826122,1,0.5008369341447959,NORMAL,-9.373577605826123
Air India,AI-5483ECONOMY,07:45,09:25,BLR,HYD,01h 40m,Non-stop,4323,INR,MakeMyTrip,T+30,2025-10-14 11:54:09+00:00,2025-10-14,BLR-HYD,30,100,0,7,9,1,10,4551.0,4880.0,744.1285731198162,5011.2307692307695,-0.050098879367172056,4333.0,-0.0023078698361412853,-0.7485265586089977,-0.1141393442622951,1,0.4868789188051031,NORMAL,-11.41393442622951
Air India Express,IX-2231ECONOMY,16:00,18:55,BLR,HYD,02h 55m,Non-stop,5199,INR,Cleartrip,T+2,2025-10-15 11:35:21+00:00,2025-10-15,BLR-HYD,2,175,0,16,18,2,10,4323.0,4878.571428571428,745.3622960553831,4962.071428571428,0.20263705759888961,4334.0,0.1995846792801108,0.42989640490852327,0.06568081991215236,1,0.48665443813217646,NORMAL,6.5680819912152355
Air India,AI-5038ECONOMY,08:10,10:22,BLR,HYD,02h 12m,Non-stop,4652,INR,MakeMyTrip,T+14,2025-10-16 11:20:07+00:00,2025-10-16,BLR-HYD,14,132,0,8,10,3,10,5199.0,5002.142857142857,710.9403229928256,4977.866666666667,-0.10521254087324483,4407.0,0.05559337417744503,-0.4925066785758758,-0.06999857204055404,1,0.4688525939943507,NORMAL,-6.999857204055404
IndiGo,6E-5185ECONOMY,14:35,16:19,BLR,HYD,01h 44m,Non-stop,5049,INR,EaseMyTrip,T+7,2025-10-17 11:23:53+00:00,2025-10-17,BLR-HYD,7,104,0,14,16,4,10,4652.0,5037.142857142857,682.2080397677895,4957.5,0.08533963886500429,6093.0,-0.17134416543574593,0.017380538143729675,0.002353942144072585,1,0.4708880189859718,NORMAL,0.2353942144072585
Air India,AI-3811ECONOMY,07:10,08:59,BLR,HYD,01h 49m,Non-stop,6379,INR,MakeMyTrip,T+5,2025-10-18 11:54:50+00:00,2025-10-18,BLR-HYD,5,109,0,7,8,5,10,5049.0,4888.0,503.66126182849024,4962.882352941177,0.26341849871261647,4634.0,0.37656452309020283,2.9603229650560743,0.30503273322422264,-1,0.5617553550314198,HIGH,30.503273322422263
IndiGo,6E-411ECONOMY,09:15,11:14,BLR,HYD,01h 59m,Non-stop,5956,INR,Cleartrip,T+21,2025-10-19 11:46:38+00:00,2025-10-19,BLR-HYD,21,119,0,9,11,6,10,6379.0,5137.285714285715,735.4827698606581,5041.555555555556,-0.06631133406490042,5808.0,0.025482093663911742,1.113165826943024,0.1593670921275825,1,0.48520375824785716,WATCH,15.936709212758249
Air India Express,IX-4576ECONOMY,06:25,09:00,BLR,HYD,02h 35m,Non-stop,6179,INR,MakeMyTrip,T+10,2025-10-20 11:47:28+00:00,2025-10-20,BLR-HYD,10,155,0,6,9,0,10,5956.0,5158.428571428572,759.7056134106291,5089.684210526316,0.03744123572867686,4551.0,0.3577235772357723,1.3433775011739957,0.1978454125010385,1,0.5142034413903098,WATCH,19.78454125010385
IndiGo,6E-7506ECONOMY,07:55,10:31,BLR,HYD,02h 36m,Non-stop,5680,INR,EaseMyTrip,T+21,2025-10-21 11:51:43+00:00,2025-10-21,BLR-HYD,21,156,0,7,10,1,10,6179.0,5391.0,791.2949302672606,5144.15,-0.08075740411069754,4323.0,0.31390238260467274,0.3652241268655544,0.05360786496011882,1,0.48173327546011263,NORMAL,5.360786496011882
IndiGo,6E-8259ECONOMY,20:40,22:57,BLR,HYD,02h 17m,Non-stop,6651,INR,Cleartrip,T+5,2025-10-22 11:19:30+00:00,2025-10-22,BLR-HYD,5,137,0,20,22,2,10,5680.0,5584.857142857143,637.2753012033437,5169.666666666667,0.1709507042253522,5199.0,0.2792844777841892,1.67297062216235,0.1908988591599734,1,0.4815777883198881,WATCH,19.08988591599734
Air India Express,IX-5655ECONOMY,16:25,18:23,BLR,HYD,01h 58m,Non-stop,7176,INR,EaseMyTrip,T+2,2025-10-23 11:38:32+00:00,2025-10-23,BLR-HYD,2,118,0,16,18,3,10,6651.0,5792.285714285715,721.4923687020131,5237.0,0.07893549842129,4652.0,0.5425623387790197,1.9178502029115425,0.23888916292605922,1,0.5146469551144573,HIGH,23.88891629260592
Air India Express,IX-4835ECONOMY,22:15,01:23,BLR,HYD,03h 08m,Non-stop,6797,INR,Cleartrip,T+7,2025-10-24 11:31:20+00:00,2025-10-24,BLR-HYD,7,188,0,22,1,4,10,7176.0,6152.857142857143,686.4933669432993,5321.304347826087,-0.05281493868450393,5049.0,0.3462071697365816,0.93830893080728,0.10469003947062916,1,0.46046650504813075,WATCH,10.469003947062916
Akasa Air,QP-2298ECONOMY,16:35,18:49,BLR,HYD,02h 14m,Non-stop,6024,INR,EaseMyTrip,T+10,2025-10-25 11:51:07+00:00,2025-10-25,BLR-HYD,10,134,0,16,18,5,10,6797.0,6402.571428571428,514.3859955140277,5382.791666666667,-0.11372664410769462,6379.0,-0.055651356011914066,-0.7359676038480026,-0.05912802891695301,1,0.4411600727734091,NORMAL,-5.912802891695302
Akasa Air,QP-2004ECONOMY,20:15,23:09,BLR,HYD,02h 54m,Non-stop,6025,INR,MakeMyTrip,T+30,2025-10-26 11:05:57+00:00,2025-10-26,BLR-HYD,30,174,0,20,23,6,10,6024.0,6351.857142857143,534.215134120903,5408.44,0.00016600265604260755,5956.0,0.01158495634654133,-0.611845531847417,-0.051458516069540994,1,0.45407845459897944,NORMAL,-5.1458516069541
Akasa Air,QP-3939ECONOMY,16:15,18:02,BLR,HYD,01h 47m,Non-stop,7318,INR,EaseMyTrip,T+1,2025-10-27 11:32:18+00:00,2025-10-27,BLR-HYD,1,107,0,16,18,0,10,6025.0,6361.714285714285,526.2710690274005,5432.153846153846,0.2146058091286307,6179.0,0.1843340346334359,1.817097253803107,0.1503188718225097,1,0.47958883636301364,WATCH,15.03188718225097
Akasa Air,QP-7739ECONOMY,16:50,19:15,BLR,HYD,02h 25m,Non-stop,6175,INR,MakeMyTrip,T+5,2025-10-28 11:16:23+00:00,2025-10-28,BLR-HYD,5,145,0,16,19,1,10,7318.0,6524.428571428572,626.8351343968293,5502.0,-0.15619021590598525,5680.0,0.08714788732394374,-0.5574489243727674,-0.053556961748155274,1,0.43877303313883215,NORMAL,-5.355696174815527
Akasa Air,QP-1394ECONOMY,10:30,13:08,BLR,HYD,02h 38m,Non-stop,5665,INR,Cleartrip,T+30,2025-10-29 11:15:44+00:00,2025-10-29,BLR-HYD,30,158,0,10,13,2,10,6175.0,6595.142857142857,537.2105200544275,5526.035714285715,-0.08259109311740886,6651.0,-0.14824838370169902,-1.7314308309684987,-0.14103452757440538,1,0.4475649677140217,NORMAL,-14.103452757440538
Air India,AI-6483ECONOMY,10:25,12:18,BLR,HYD,01h 53m,Non-stop,6626,INR,EaseMyTrip,T+7,2025-10-30 11:00:19+00:00,2025-10-30,BLR-HYD,7,113,0,10,12,3,10,5665.0,6454.285714285715,639.6263790385055,5530.827586206897,0.16963812886142993,7176.0,-0.07664437012263103,0.26846029391784687,0.026604692341744007,1,0.42510148686839283,NORMAL,2.6604692341744007
IndiGo,6E-7663ECONOMY,22:15,00:51,BLR,HYD,02h 36m,Non-stop,6696,INR,MakeMyTrip,T+5,2025-10-31 11:53:44+00:00,2025-10-31,BLR-HYD,5,156,0,22,0,4,10,6626.0,6375.714285714285,565.7047858750265,5567.333333333333,0.010564443102927923,6797.0,-0.014859496836839736,0.5661711236723939,0.050235267757114066,1,0.4206234994855975,NORMAL,5.023526775711407
IndiGo,6E-5720ECONOMY,20:05,23:11,BLR,HYD,03h 06m,Non-stop,6764,INR,EaseMyTrip,T+7,2025-11-01 11:59:47+00:00,2025-11-01,BLR-HYD,7,186,0,20,23,5,11,6696.0,6361.285714285715,554.3427682958528,5622.466666666666,0.010155316606929476,6024.0,0.12284196547144743,0.7264716142185815,0.06330705832154315,1,0.43774718881393976,NORMAL,6.330705832154315
Akasa Air,QP-9300ECONOMY,16:50,19:33,BLR,HYD,02h 43m,Non-stop,7472,INR,MakeMyTrip,T+1,2025-11-02 11:43:31+00:00,2025-11-02,BLR-HYD,1,163,0,16,19,6,11,6764.0,6467.0,549.8430078971074,5697.9,0.10467179183914843,6025.0,0.24016597510373439,1.8277944532634058,0.1554043605999691,1,0.47516038651592984,WATCH,15.54043605999691
Akasa Air,QP-6246ECONOMY,14:05,17:06,BLR,HYD,03h 01m,Non-stop,6771,INR,EaseMyTrip,T+3,2025-11-03 11:25:32+00:00,2025-11-03,BLR-HYD,3,181,0,14,17,0,11,7472.0,6673.714285714285,623.0983641677914,5776.266666666666,-0.09381691648822266,7318.0,-0.07474719868816615,0.1561321933747158,0.014577446699203689,1,0.4442520560430451,NORMAL,1.4577446699203689
IndiGo,6E-1790ECONOMY,10:25,12:43,BLR,HYD,02h 18m,Non-stop,6271,INR,EaseMyTrip,T+5,2025-11-04 11:24:49+00:00,2025-11-04,BLR-HYD,5,138,0,10,12,1,11,6771.0,6595.571428571428,559.9294173205745,5819.0,-0.0738443361394181,6175.0,0.015546558704453428,-0.5796648979876737,-0.049210509216140674,1,0.4322534750008152,NORMAL,-4.921050921614068
Air India,AI-4646ECONOMY,06:20,08:10,BLR,HYD,01h 50m,Non-stop,6173,INR,Cleartrip,T+14,2025-11-05 11:58:13+00:00,2025-11-05,BLR-HYD,14,110,0,6,8,2,11,6271.0,6609.285714285715,548.9801800568431,5851.7,-0.015627491628129486,5665.0,0.0896734333627538,-0.7947203380649194,-0.0660110234518535,1,0.43918199014399,NORMAL,-6.60110234518535
IndiGo,6E-3038ECONOMY,08:40,10:25,BLR,HYD,01h 45m,Non-stop,4998,INR,MakeMyTrip,T+10,2025-11-06 11:04:56+00:00,2025-11-06,BLR-HYD,10,105,0,8,10,3,11,6173.0,6681.857142857143,422.31087623986497,5872.7,-0.19034505102867327,6626.0,-0.2456987624509508,-3.9872455046616953,-0.25200436149060357,1,0.5350611602301864,HIGH,-25.20043614906036
Akasa Air,QP-5151ECONOMY,14:20,16:15,BLR,HYD,01h 55m,Non-stop,6217,INR,EaseMyTrip,T+30,2025-11-07 11:10:51+00:00,2025-11-07,BLR-HYD,30,115,0,14,16,4,11,4998.0,6449.285714285715,766.3449428479162,5894.866666666667,0.24389755902360943,6696.0,-0.07153524492234165,-0.30310856286529003,-0.036017277660870595,1,0.4470107049748957,NORMAL,-3.6017277660870595
Air India Express,IX-6463ECONOMY,09:10,10:53,BLR,HYD,01h 43m,Non-stop,6123,INR,MakeMyTrip,T+21,2025-11-08 11:38:14+00:00,2025-11-08,BLR-HYD,21,103,0,9,10,5,11,6217.0,6380.857142857143,762.0169351948903,5957.633333333333,-0.015119832716744441,6764.0,-0.09476641040804257,-0.338387680047025,-0.04041105091120767,1,0.4377795100121956,NORMAL,-4.041105091120767
Akasa Air,QP-9397ECONOMY,05:10,08:07,BLR,HYD,02h 57m,Non-stop,7600,INR,MakeMyTrip,T+7,2025-11-09 11:58:51+00:00,2025-11-09,BLR-HYD,7,177,0,5,8,6,11,6123.0,6289.285714285715,746.6607248913266,6014.833333333333,0.2412216233872284,7472.0,0.017130620985010614,1.7554348876526944,0.20840431572969886,1,0.48434876172954705,HIGH,20.840431572969887
IndiGo,6E-4925ECONOMY,20:50,23:46,BLR,HYD,02h 56m,Non-stop,5414,INR,MakeMyTrip,T+3,2025-11-10 11:12:06+00:00,2025-11-10,BLR-HYD,3,176,0,20,23,0,11,7600.0,6307.571428571428,781.2203822957317,6065.066666666667,-0.28763157894736846,6771.0,-0.2004135282823808,-1.14381479134676,-0.14166647792901954,1,0.48976704529262416,NORMAL,-14.166647792901955
Akasa Air,QP-1943ECONOMY,12:10,14:08,BLR,HYD,01h 58m,Non-stop,4038,INR,Cleartrip,T+30,2025-11-11 11:37:37+00:00,2025-11-11,BLR-HYD,30,118,0,12,14,1,11,5414.0,6113.714285714285,814.7056143756712,6091.066666666667,-0.2541558921315109,6271.0,-0.35608355924095036,-2.547808986568671,-0.3395177119356949,-1,0.5710210229997835,WATCH,-33.95177119356949
Air India,AI-7875ECONOMY,18:40,21:04,BLR,HYD,02h 24m,Non-stop,4993,INR,MakeMyTrip,T+5,2025-11-12 11:10:53+00:00,2025-11-12,BLR-HYD,5,144,0,18,21,2,11,4038.0,5794.714285714285,1122.0513526997045,6032.066666666667,0.2365032194155523,6173.0,-0.19115502996922085,-0.7145076593734554,-0.13835268594531958,1,0.5019472409744218,NORMAL,-13.835268594531957
Akasa Air,QP-5973ECONOMY,16:20,18:21,BLR,HYD,02h 01m,Non-stop,4999,INR,Cleartrip,T+5,2025-11-13 11:56:35+00:00,2025-11-13,BLR-HYD,5,121,0,16,18,3,11,4993.0,5626.142857142857,1144.1683192857336,6046.8,0.0012016823552973843,4998.0,0.0002000800320127727,-0.548121151907406,-0.11146941573775482,1,0.46974149777744584,NORMAL,-11.146941573775482
Air India Express,IX-2836ECONOMY,06:00,08:18,BLR,HYD,02h 18m,Non-stop,4965,INR,MakeMyTrip,T+10,2025-11-14 11:29:46+00:00,2025-11-14,BLR-HYD,10,138,0,6,8,4,11,4999.0,5626.285714285715,1144.0768788686808,6069.333333333333,-0.0068013602720543576,6217.0,-0.20138330384429792,-0.5780081098567662,-0.11753503960999401,1,0.4810236974897058,NORMAL,-11.753503960999401
IndiGo,6E-1759ECONOMY,09:50,11:59,BLR,HYD,02h 09m,Non-stop,4497,INR,MakeMyTrip,T+21,2025-11-15 11:18:16+00:00,2025-11-15,BLR-HYD,21,129,0,9,11,5,11,4965.0,5447.428571428572,1134.15884500994,6061.533333333334,-0.09425981873111777,6123.0,-0.2655560999510044,-0.8380030501108879,-0.1744728836672611,1,0.5122802189210748,NORMAL,-17.44728836672611
IndiGo,6E-2671ECONOMY,16:35,19:18,BLR,HYD,02h 43m,Non-stop,4749,INR,EaseMyTrip,T+30,2025-11-16 11:04:48+00:00,2025-11-16,BLR-HYD,30,163,0,16,19,6,11,4497.0,5215.142857142857,1139.2335769530039,6056.366666666667,0.05603735823882583,7600.0,-0.37513157894736837,-0.40917233004104686,-0.08938256724921922,1,0.5352353977088221,NORMAL,-8.938256724921922
Air India,AI-8272ECONOMY,05:40,07:26,BLR,HYD,01h 46m,Non-stop,4247,INR,Cleartrip,T+21,2025-11-17 11:59:27+00:00,2025-11-17,BLR-HYD,21,106,0,5,7,0,11,4749.0,4807.857142857143,438.8797969723211,6046.366666666667,-0.10570646451884602,5414.0,-0.21555227188769854,-1.2779288240796256,-0.11665428613876105,1,0.5227690345628453,NORMAL,-11.665428613876106
Air India Express,IX-869ECONOMY,12:30,15:03,BLR,HYD,02h 33m,Non-stop,4362,INR,Cleartrip,T+30,2025-11-18 11:20:35+00:00,2025-11-18,BLR-HYD,30,153,0,12,15,1,11,4247.0,4641.142857142857,389.0777251275952,5975.3,0.027077937367553595,4038.0,0.08023774145616636,-0.7174475409799264,-0.06014528441270617,1,0.5092864069979329,NORMAL,-6.014528441270617
Air India Express,IX-8526ECONOMY,16:35,19:17,BLR,HYD,02h 42m,Non-stop,5154,INR,EaseMyTrip,T+7,2025-11-19 11:18:57+00:00,2025-11-19,BLR-HYD,7,162,0,16,19,2,11,4362.0,4687.428571428572,318.18016759001137,5922.166666666667,0.1815680880330124,4993.0,0.032245143200480664,1.4663749538677266,0.09953675484578817,1,0.5085153721435849,NORMAL,9.953675484578817
Air India Express,IX-3569ECONOMY,12:50,15:35,BLR,HYD,02h 45m,Non-stop,4484,INR,EaseMyTrip,T+30,2025-11-20 11:10:11+00:00,2025-11-20,BLR-HYD,30,165,0,12,15,3,11,5154.0,4710.428571428572,348.3398039954778,5888.0,-0.12999611951882029,4999.0,-0.10302060412082414,-0.6500221014980851,-0.04806963272980924,1,0.49670171256487,NORMAL,-4.806963272980925
Air India Express,IX-2293ECONOMY,14:40,17:25,BLR,HYD,02h 45m,Non-stop,5536,INR,EaseMyTrip,T+5,2025-11-21 11:25:23+00:00,2025-11-21,BLR-HYD,5,165,0,14,17,4,11,4484.0,4636.857142857143,331.1975385231567,5848.133333333333,0.2346119536128457,4965.0,0.11500503524672712,2.71482348918481,0.19391213260213203,1,0.5498148843171607,WATCH,19.391213260213203
Akasa Air,QP-467ECONOMY,08:00,09:56,BLR,HYD,01h 56m,Non-stop,4446,INR,Cleartrip,T+21,2025-11-22 11:37:10+00:00,2025-11-22,BLR-HYD,21,116,0,8,9,5,11,5536.0,4718.428571428572,467.68110828598554,5810.966666666666,-0.19689306358381498,4497.0,-0.011340893929286167,-0.5825092495760644,-0.05773714008901276,1,0.5155251059234425,NORMAL,-5.773714008901276
IndiGo,6E-9569ECONOMY,16:05,18:51,BLR,HYD,02h 46m,Non-stop,4774,INR,EaseMyTrip,T+14,2025-11-23 11:24:41+00:00,2025-11-23,BLR-HYD,14,166,0,16,18,6,11,4446.0,4711.142857142857,472.082065101466,5719.966666666666,0.07377417903733696,4749.0,0.00526426616129716,0.13314876269157364,0.013342228152101399,1,0.5131753243051063,NORMAL,1.3342228152101399
IndiGo,6E-2679ECONOMY,06:20,08:51,BLR,HYD,02h 31m,Non-stop,5240,INR,MakeMyTrip,T+3,2025-11-24 11:42:25+00:00,2025-11-24,BLR-HYD,3,151,0,6,8,0,11,4774.0,4714.714285714285,472.5105692947267,5652.533333333334,0.09761206535400091,4247.0,0.23381210266070163,1.1116909301515956,0.11141411386843636,1,0.5174133922712568,WATCH,11.141411386843636
Air India Express,IX-2655ECONOMY,06:05,07:55,BLR,HYD,01h 50m,Non-stop,5186,INR,Cleartrip,T+5,2025-11-25 11:42:31+00:00,2025-11-25,BLR-HYD,5,110,0,6,7,1,11,5240.0,4856.571428571428,457.51169644167754,5626.4,-0.010305343511450404,4362.0,0.18890417239798252,0.7200440425692293,0.06783150958936357,1,0.4971797590920388,NORMAL,6.783150958936357
Akasa Air,QP-5015ECONOMY,09:40,12:32,BLR,HYD,02h 52m,Non-stop,4206,INR,EaseMyTrip,T+30,2025-11-26 11:25:06+00:00,2025-11-26,BLR-HYD,30,172,0,9,12,2,11,5186.0,4974.285714285715,412.8816272192647,5598.433333333333,-0.18897030466640952,5154.0,-0.18393480791618155,-1.8607893004590133,-0.15445146467547388,1,0.5191275042725387,NORMAL,-15.445146467547389
Akasa Air,QP-5168ECONOMY,08:15,10:31,BLR,HYD,02h 16m,Non-stop,5678,INR,MakeMyTrip,T+3,2025-11-27 11:40:08+00:00,2025-11-27,BLR-HYD,3,136,0,8,10,3,11,4206.0,4838.857142857143,492.0038714520436,5494.7,0.3499762244412743,4484.0,0.2662801070472791,1.705561492161245,0.1734175720358997,1,0.5332125883189426,WATCH,17.34175720358997
Akasa Air,QP-4558ECONOMY,22:45,01:27,BLR,HYD,02h 42m,Non-stop,5279,INR,EaseMyTrip,T+7,2025-11-28 11:20:01+00:00,2025-11-28,BLR-HYD,7,162,0,22,1,4,11,5678.0,5009.428571428572,551.8124249968844,5478.133333333333,-0.07027122226135962,5536.0,-0.04642341040462428,0.488520041158824,0.053812810129470146,1,0.4799394086181097,NORMAL,5.3812810129470146
IndiGo,6E-4175ECONOMY,07:35,09:26,BLR,HYD,01h 51m,Non-stop,4364,INR,Cleartrip,T+21,2025-11-29 11:39:21+00:00,2025-11-29,BLR-HYD,21,111,0,7,9,5,11,5279.0,4972.714285714285,518.481344661401,5465.266666666666,-0.17332828187156657,4446.0,-0.018443544759334185,-1.174033148891426,-0.122410870751817,1,0.5131211088695586,NORMAL,-12.2410870751817
Air India Express,IX-904ECONOMY,10:15,13:12,BLR,HYD,02h 57m,Non-stop,4637,INR,Cleartrip,T+14,2025-11-30 11:04:00+00:00,2025-11-30,BLR-HYD,14,177,0,10,13,6,11,4364.0,4961.0,533.0856716638734,5389.866666666667,0.06255728689275886,4774.0,-0.028697109342270655,-0.6077822331797575,-0.06530941342471275,1,0.5065177070917456,NORMAL,-6.530941342471275
Air India,AI-1644ECONOMY,05:35,08:00,BLR,HYD,02h 25m,Non-stop,5076,INR,EaseMyTrip,T+7,2025-12-01 11:08:16+00:00,2025-12-01,BLR-HYD,7,145,0,5,8,0,12,4637.0,4941.428571428572,543.5083124610658,5321.233333333334,0.09467328013802034,5240.0,-0.0312977099236641,0.2475977376722614,0.027233304423243787,1,0.5066869160640486,NORMAL,2.7233304423243787
Akasa Air,QP-5398ECONOMY,20:45,22:36,BLR,HYD,01h 51m,Non-stop,4255,INR,EaseMyTrip,T+30,2025-12-02 11:42:26+00:00,2025-12-02,BLR-HYD,30,111,0,20,22,1,12,5076.0,4918.0,531.9038133597619,5264.966666666666,-0.16174152876280534,5186.0,-0.17952178943308905,-1.2464659649874874,-0.13481089873932495,1,0.5131528105899144,NORMAL,-13.481089873932495
IndiGo,6E-751ECONOMY,08:40,10:59,BLR,HYD,02h 19m,Non-stop,4507,INR,MakeMyTrip,T+30,2025-12-03 11:31:25+00:00,2025-12-03,BLR-HYD,30,139,0,8,10,2,12,4255.0,4785.0,568.836824874518,5157.733333333334,0.059224441833137575,4206.0,0.0715644317641464,-0.48871660174484155,-0.05809822361546502,1,0.4952050294772511,NORMAL,-5.809822361546502
Akasa Air,QP-6226ECONOMY,07:30,10:12,BLR,HYD,02h 42m,Non-stop,4585,INR,MakeMyTrip,T+21,2025-12-04 11:08:10+00:00,2025-12-04,BLR-HYD,21,162,0,7,10,3,12,4507.0,4828.0,527.6602442228551,5082.266666666666,0.017306412247614755,5678.0,-0.19249735822472702,-0.4605236090088492,-0.050331400165700035,1,0.5002723110732903,NORMAL,-5.0331400165700035
Air India,AI-6304ECONOMY,16:30,18:15,BLR,HYD,01h 45m,Non-stop,4442,INR,EaseMyTrip,T+30,2025-12-05 11:58:21+00:00,2025-12-05,BLR-HYD,30,105,0,16,18,4,12,4585.0,4671.857142857143,373.3713203462908,5026.066666666667,-0.031188658669574654,5279.0,-0.15855275620382647,-0.6156261349799375,-0.04920037917010678,1,0.5135516247412926,NORMAL,-4.920037917010678
